Wall time,Step,Value
1698851885.127219,242431,66.0
1698852000.5304496,246738,78.0
1698852018.575167,247387,66.0
1698852020.0343451,247446,56.0
1698852023.301204,247564,68.0
1698852031.9703498,247859,72.0
1698852033.4749198,247918,63.0
1698852072.8714964,249393,69.0
1698852081.7394176,249688,65.0
1698852086.316367,249865,70.0
1698852098.7226598,250337,62.0
1698852131.4145162,251517,55.0
1698852135.8490105,251694,72.0
1698852137.703043,251753,65.0
1698852162.1495032,252638,50.0
1698852187.0983825,253582,57.0
1698852197.053208,253936,70.0
1698852217.8738918,254703,62.0
1698852221.1418562,254821,76.0
1698852241.565181,255588,60.0
1698852299.8289697,257771,73.0
1698852338.717172,259187,78.0
1698852350.288559,259600,74.0
1698852359.5757084,259954,64.0
1698852398.1026587,261370,72.0
1698852402.7782676,261547,47.0
1698852469.2535696,264025,74.0
1698852496.2129319,265028,74.0
1698852523.6332133,266031,68.0
1698852525.2845857,266090,63.0
1698852557.619078,267270,61.0
1698852562.5538392,267447,55.0
1698852576.5890057,267978,80.0
1698852632.196804,270102,82.0
1698852637.1289158,270279,80.0
1698852663.1078138,271223,82.0
1698852666.1972215,271341,43.0
1698852711.0635362,273052,74.0
1698852756.0359528,274704,51.0
1698852767.8871434,275176,78.0
1698852773.8436413,275412,63.0
1698852786.3367045,275884,65.0
1698852803.5824094,276533,78.0
1698852844.1378727,278067,64.0
1698852852.6564546,278362,78.0
1698852878.2800086,279306,60.0
1698852904.008093,280250,74.0
1698852916.1907003,280722,72.0
1698852930.6038742,281253,68.0
1698852944.463559,281784,66.0
1698852962.1478305,282433,56.0
1698852963.7002945,282492,62.0
1698852982.7367167,283200,72.0
1698852986.1958926,283318,64.0
1698852990.926518,283495,76.0
1698853046.956678,285560,63.0
1698853065.7224166,286268,69.0
1698853096.7108011,287389,84.0
1698853133.5094223,288746,65.0
1698853164.516425,289926,70.0
1698853228.383505,292286,69.0
1698853241.165296,292758,68.0
1698853254.9752781,293289,57.0
1698853259.3635576,293466,76.0
1698853262.4225366,293584,60.0
1698853342.9721184,296593,70.0
1698853347.4814909,296770,68.0
1698853380.7829177,297950,80.0
1698853384.0311234,298068,74.0
1698853385.4909365,298127,60.0
1698853397.44653,298540,66.0
1698853426.7740102,299602,79.0
1698853472.9810066,301254,36.0
1698853505.0571954,302434,82.0
1698853508.1924326,302552,70.0
1698853517.933075,302906,70.0
1698853558.4904363,304440,82.0
1698853566.4036033,304735,74.0
1698853593.8530564,305738,68.0
1698853622.602563,306800,78.0
1698853635.6944299,307272,82.0
1698853685.3208957,309101,77.0
1698853727.7072506,310694,68.0
1698853764.0079749,312051,78.0
1698853810.7059627,313762,82.0
1698853827.4718132,314411,71.0
1698853853.3802655,315355,75.0
1698853875.4946685,316181,68.0
1698853907.9471684,317420,72.0
1698853972.1360128,319780,80.0
1698854007.0979059,321078,68.0
1698854014.7311318,321373,71.0
1698854072.1439881,323556,71.0
1698854090.6260219,324205,78.0
1698854100.0279207,324559,80.0
1698854122.4571872,325385,66.0
1698854125.3642979,325503,78.0
1698854175.4687462,327391,72.0
1698854213.2772956,328807,68.0
1698854231.142388,329515,67.0
1698854234.4666584,329633,78.0
1698854243.8770542,329987,74.0
1698854263.1687553,330695,70.0
1698854302.3811474,332170,68.0
1698854346.3872955,333822,80.0
1698854349.685727,333940,72.0
1698854355.4543843,334176,56.0
1698854378.4202325,335061,70.0
1698854444.4233205,337480,84.0
1698854449.1243486,337657,69.0
1698854503.9118948,339781,64.0
1698854530.5639658,340784,74.0
1698854535.0606108,340961,72.0
1698854550.1304545,341551,67.0
1698854579.678094,342613,76.0
1698854581.1983035,342672,56.0
1698854608.141192,343675,72.0
1698854612.847724,343852,78.0
1698854666.1584814,345858,72.0
1698854669.1960268,345976,62.0
1698854679.9231737,346389,78.0
1698854722.623165,347982,74.0
1698854736.1299021,348513,84.0
1698854769.2204964,349752,54.0
1698854808.300973,351168,74.0
1698854816.0408914,351463,62.0
1698854826.099847,351817,84.0
1698854868.3058097,353410,67.0
1698854898.971139,354590,53.0
1698854906.4082792,354885,70.0
1698854929.3500326,355770,66.0
1698854936.9893901,356065,68.0
1698854976.976008,357540,71.0
1698855005.1560783,358602,39.0
1698855011.1645713,358838,68.0
1698855019.1492548,359133,82.0
1698855044.1924238,360077,74.0
1698855047.4445536,360195,70.0
1698855072.7832918,361139,78.0
1698855075.9599473,361257,57.0
1698855085.313413,361611,36.0
1698855088.2883954,361729,64.0
1698855109.39769,362555,54.0
1698855115.2845566,362791,74.0
1698855152.007212,364148,74.0
1698855165.3498619,364679,78.0
1698855195.1008255,365800,58.0
1698855212.7992256,366449,47.0
1698855216.341115,366567,68.0
1698855226.4463525,366921,82.0
1698855246.3000035,367688,47.0
1698855274.9832218,368750,63.0
1698855338.1324325,371051,69.0
1698855373.4514549,372408,72.0
1698855380.0894902,372644,76.0
1698855381.5776076,372703,71.0
1698855393.7402318,373116,78.0
1698855420.417271,374119,68.0
1698855438.245199,374768,71.0
1698855455.8887527,375417,80.0
1698855466.963538,375830,68.0
1698855475.9861126,376184,71.0
1698855514.1952062,377600,73.0
1698855603.310752,380845,57.0
