Wall time,Step,Value
1698849439.5466852,45,-1.0
1698849439.5602062,54,-1.0
1698849439.6182103,99,-1.0
1698849439.6535404,126,-1.0
1698849439.663156,135,-1.0
1698849439.6942167,162,-1.0
1698849439.7034192,171,-1.0
1698849439.7128072,180,-1.0
1698849442.157318,216,-1.0
1698849446.4525297,324,1.0
1698849446.5309985,360,-1.0
1698849446.5612648,378,-1.0
1698849446.5924964,396,-1.0
1698849446.607665,405,-1.0
1698849446.715048,423,-1.0
1698849446.8560016,477,-1.0
1698849446.8663516,486,-1.0
1698849446.8758326,495,-1.0
1698849446.9083872,504,-1.0
1698849446.9197674,513,-1.0
1698849447.039045,567,1.0
1698849447.1193564,585,1.0
1698849447.1380975,603,-1.0
1698849447.1524982,612,-1.0
1698849447.2592888,639,-1.0
1698849447.273525,648,-1.0
1698849447.3403587,657,-1.0
1698849447.353747,666,-1.0
1698849447.4526894,711,-1.0
1698849447.6840727,756,1.0
1698849447.7463071,783,-1.0
1698849447.7556856,792,-1.0
1698849447.9981997,846,-1.0
1698849448.2270339,918,-1.0
1698849448.3059707,945,-1.0
1698849448.3710163,954,-1.0
1698849448.5702202,1017,-1.0
1698849448.6668847,1044,-1.0
1698849448.7423604,1062,1.0
1698849448.9728868,1125,-1.0
1698849448.9829845,1134,-1.0
1698849449.1185167,1161,1.0
1698849449.1293135,1170,1.0
1698849449.33397,1233,-1.0
1698849449.4378705,1251,1.0
1698849449.5552645,1269,-1.0
1698849449.5677059,1278,-1.0
1698849449.612335,1287,-1.0
1698849449.9304109,1350,1.0
1698849450.096666,1395,-1.0
1698849450.1390698,1413,-1.0
1698849450.149556,1422,-1.0
1698849450.3106177,1458,-1.0
1698849450.4925208,1503,-1.0
1698849450.5505865,1512,-1.0
1698849450.6287146,1539,-1.0
1698849450.8729298,1593,1.0
1698849450.9136436,1602,-1.0
1698849450.9665933,1620,-1.0
1698849451.079824,1647,-1.0
1698849451.1841884,1665,-1.0
1698849451.271931,1674,1.0
1698849451.3326862,1692,-1.0
1698849451.430929,1710,-1.0
1698849451.5075989,1719,-1.0
1698849451.8906918,1782,-1.0
1698849452.2983124,1854,-1.0
1698849452.3508384,1863,-1.0
1698849452.420077,1872,-1.0
1698849452.6294386,1908,1.0
1698849453.0889637,1998,1.0
1698849453.1360307,2007,-1.0
1698849453.316804,2025,1.0
1698849453.49841,2061,-1.0
1698849453.7460275,2088,-1.0
1698849453.758443,2097,-1.0
1698849453.789735,2106,-1.0
1698849453.913008,2133,-1.0
1698849454.5145984,2241,-1.0
1698849454.8626413,2295,1.0
1698849454.974087,2322,-1.0
1698849455.1032414,2340,-1.0
1698849455.2000172,2349,1.0
1698849455.3453426,2367,1.0
1698849455.6053889,2403,-1.0
1698849455.865193,2439,-1.0
1698849455.9889064,2457,-1.0
1698849456.3688169,2502,-1.0
1698849457.182344,2619,-1.0
1698849457.3197222,2628,-1.0
1698849457.586662,2673,-1.0
1698849457.642875,2682,-1.0
1698849457.8886297,2718,-1.0
1698849457.9428484,2727,-1.0
1698849458.1455317,2763,1.0
1698849458.2194345,2772,1.0
1698849458.3711624,2790,-1.0
1698849458.5500035,2817,1.0
1698849458.9665673,2862,-1.0
1698849459.015082,2871,1.0
1698849459.187721,2880,-1.0
1698849459.5333993,2925,-1.0
1698849459.5627208,2934,-1.0
1698849459.6041372,2943,-1.0
1698849459.802185,2970,-1.0
1698849464.2459795,3051,1.0
1698849465.2590547,3069,-1.0
1698849467.1238909,3105,-1.0
1698849468.0641549,3123,-1.0
1698849470.5525367,3177,-1.0
1698849471.0213478,3186,-1.0
1698849473.7392533,3240,1.0
1698849475.0329785,3267,-1.0
1698849477.1322327,3303,-1.0
1698849479.099728,3339,-1.0
1698849479.9184287,3357,-1.0
1698849481.768417,3393,-1.0
1698849482.2352288,3402,-1.0
1698849482.892313,3411,1.0
1698849483.8139217,3429,1.0
1698849486.3744948,3474,-1.0
1698849489.0027947,3519,-1.0
1698849489.675085,3528,-1.0
1698849490.2245946,3537,1.0
1698849498.2662807,3672,-1.0
1698849501.8308377,3735,-1.0
1698849504.9657876,3789,-1.0
1698849505.4010236,3798,-1.0
1698849506.326917,3816,-1.0
1698849507.1115205,3834,-1.0
1698849508.9186444,3870,1.0
1698849512.5646045,3951,-1.0
1698849513.3172972,3969,-1.0
1698849513.8894682,3978,-1.0
1698849515.123663,4005,1.0
1698849518.0212874,4059,-1.0
1698849522.3081398,4131,-1.0
1698849522.9776523,4140,-1.0
1698849524.7688966,4167,1.0
1698849525.2292154,4176,-1.0
1698849527.250624,4212,-1.0
1698849529.9113526,4257,-1.0
1698849530.533464,4266,-1.0
1698849535.8121908,4365,-1.0
1698849537.4744673,4392,1.0
1698849538.0211082,4401,-1.0
1698849539.1404629,4419,-1.0
1698849540.0165865,4437,-1.0
1698849541.6659658,4464,-1.0
1698849547.2642663,4563,1.0
1698849549.528785,4608,-1.0
1698849550.3005533,4626,-1.0
1698849551.7044582,4653,-1.0
1698849552.675634,4671,-1.0
1698849555.1109486,4716,-1.0
1698849555.5418992,4725,1.0
1698849558.4739015,4779,-1.0
1698849559.300902,4797,-1.0
1698849559.810938,4806,-1.0
1698849560.8418062,4824,-1.0
1698849561.2447524,4833,-1.0
1698849562.8566334,4860,-1.0
1698849563.6403575,4878,1.0
1698849566.2194932,4923,-1.0
1698849566.7753134,4932,-1.0
1698849567.2855537,4941,-1.0
1698849571.710958,5013,-1.0
1698849572.8625681,5031,-1.0
1698849574.7638748,5067,-1.0
1698849575.3034196,5076,-1.0
1698849575.7506478,5085,1.0
1698849577.7028303,5121,-1.0
1698849579.823748,5157,-1.0
1698849580.2570212,5166,1.0
1698849581.780046,5193,-1.0
1698849582.7861977,5211,-1.0
1698849583.3250475,5220,1.0
1698849583.8771546,5229,-1.0
1698849584.3608763,5238,-1.0
1698849585.0503485,5247,-1.0
1698849585.5510514,5256,1.0
1698849586.8250468,5274,-1.0
1698849587.2922509,5283,-1.0
1698849589.6014507,5328,-1.0
1698849590.0964751,5337,1.0
1698849591.8187501,5373,-1.0
1698849593.411669,5400,-1.0
1698849594.5166793,5418,1.0
1698849598.062131,5472,1.0
1698849599.0116422,5490,1.0
1698849601.7343874,5535,-1.0
1698849603.774902,5571,-1.0
1698849604.300461,5580,-1.0
1698849605.515506,5598,-1.0
1698849611.3118765,5706,-1.0
1698849614.6750338,5769,-1.0
1698849615.1764956,5778,-1.0
1698849616.0481274,5796,-1.0
1698849616.639216,5805,1.0
1698849617.3285575,5814,1.0
1698849617.977023,5823,1.0
1698849619.0139742,5841,1.0
1698849620.7866209,5868,1.0
1698849623.0169067,5904,-1.0
1698849623.5055842,5913,-1.0
1698849625.5861468,5949,-1.0
1698849627.207476,5976,1.0
1698849629.2936592,6012,1.0
1698849630.9387555,6039,-1.0
1698849631.3046923,6048,-1.0
1698849631.8165896,6057,1.0
1698849632.4232976,6066,-1.0
1698849632.9604445,6075,-1.0
1698849634.1430607,6093,1.0
1698849634.5890942,6102,-1.0
1698849635.020754,6111,-1.0
1698849636.4586844,6138,1.0
1698849636.8382657,6147,1.0
1698849637.3606145,6156,1.0
1698849638.4028175,6174,-1.0
1698849639.2517977,6192,1.0
1698849639.922025,6201,1.0
1698849643.09315,6264,1.0
1698849644.4810135,6291,1.0
1698849645.740536,6309,1.0
1698849646.5961692,6327,1.0
1698849648.3210695,6354,1.0
1698849649.4693704,6372,1.0
1698849650.6869073,6390,1.0
1698849652.8444238,6426,1.0
1698849655.169255,6462,1.0
1698849656.7897067,6489,1.0
1698849657.1827493,6498,1.0
1698849657.597007,6507,1.0
1698849658.1907778,6516,1.0
1698849661.1368601,6570,1.0
1698849664.6580343,6624,1.0
1698849665.8583574,6642,1.0
1698849666.349277,6651,1.0
1698849666.7903852,6660,-1.0
1698849668.3713956,6687,1.0
1698849669.8262901,6714,1.0
1698849670.2932956,6723,1.0
1698849671.950191,6750,1.0
1698849672.4001381,6759,1.0
1698849673.0365074,6768,1.0
1698849674.0604262,6786,1.0
1698849675.3392138,6804,-1.0
1698849678.7425225,6858,1.0
1698849680.4166853,6885,1.0
1698849680.926261,6894,1.0
1698849682.6475098,6921,1.0
1698849683.2103386,6930,1.0
1698849683.8606722,6939,1.0
1698849684.8790424,6957,1.0
1698849685.489984,6966,1.0
1698849689.3902974,7020,1.0
1698849691.7635858,7056,1.0
1698849692.2584128,7065,1.0
1698849693.513155,7083,1.0
1698849694.4276538,7101,1.0
1698849695.6187096,7119,1.0
1698849696.0715606,7128,1.0
1698849696.6684165,7137,1.0
1698849697.243688,7146,1.0
1698849697.7145426,7155,1.0
1698849699.4860353,7182,1.0
1698849700.8294942,7200,1.0
1698849701.8744338,7218,1.0
1698849703.559315,7245,1.0
1698849704.7918835,7263,1.0
1698849705.3263793,7272,1.0
1698849705.940637,7281,1.0
1698849709.2447164,7335,1.0
1698849709.780337,7344,1.0
1698849710.8217623,7362,1.0
1698849712.52123,7389,1.0
1698849714.8228207,7425,1.0
1698849716.4511704,7452,1.0
1698849717.994479,7479,1.0
1698849718.555207,7488,1.0
1698849719.7326703,7506,1.0
1698849720.6031506,7524,1.0
1698849721.6524997,7542,1.0
1698849724.1141942,7587,1.0
1698849725.6776204,7614,1.0
1698849726.5827177,7632,1.0
1698849728.0063086,7659,1.0
1698849731.984582,7731,1.0
1698849734.0685139,7767,1.0
1698849736.031911,7803,1.0
1698849737.0616722,7821,1.0
1698849737.5734613,7830,1.0
1698849739.5116136,7866,1.0
1698849740.3277798,7884,1.0
1698849740.8388686,7893,1.0
1698849742.3650744,7920,1.0
1698849743.317711,7938,1.0
1698849744.1432962,7956,1.0
1698849745.7802958,7983,1.0
1698849746.9100635,8001,1.0
1698849747.4566686,8010,1.0
1698849748.321113,8028,1.0
1698849750.5263975,8064,1.0
1698849752.5467575,8100,1.0
1698849755.869674,8163,1.0
1698849756.2409313,8172,1.0
1698849756.7123876,8181,1.0
1698849757.3035738,8190,1.0
1698849758.385343,8208,1.0
1698849759.9829178,8235,1.0
1698849760.4061084,8244,1.0
1698849760.986951,8253,1.0
1698849762.299707,8280,1.0
1698849762.9089541,8289,1.0
1698849763.3884547,8298,1.0
1698849763.8951476,8307,1.0
1698849767.8459883,8379,1.0
1698849768.393399,8388,1.0
1698849769.6333103,8415,1.0
1698849773.2740507,8478,1.0
1698849774.75085,8505,1.0
1698849778.4607682,8568,1.0
1698849779.1196518,8577,1.0
1698849779.602109,8586,1.0
1698849780.597211,8604,1.0
1698849781.1515057,8613,1.0
1698849781.6746206,8622,1.0
1698849783.4567606,8649,1.0
1698849783.9907272,8658,1.0
1698849785.1756475,8676,1.0
1698849786.2420197,8694,1.0
1698849786.8461032,8703,1.0
1698849788.7452052,8739,1.0
1698849789.1326134,8748,1.0
1698849790.994308,8784,1.0
1698849791.37246,8793,1.0
1698849792.0558093,8802,1.0
1698849792.4776592,8811,1.0
1698849793.871487,8838,1.0
1698849794.476811,8847,1.0
1698849794.8504767,8856,1.0
1698849796.2752318,8883,1.0
1698849796.6866803,8892,1.0
1698849800.363907,8964,1.0
1698849802.330503,9000,1.0
1698849803.2365153,9018,1.0
1698849804.128232,9036,1.0
1698849804.6943314,9045,1.0
1698849806.077155,9072,1.0
1698849806.4959335,9081,1.0
1698849807.2899842,9099,1.0
1698849807.8887079,9108,1.0
1698849808.3360703,9117,1.0
1698849808.7468793,9126,1.0
1698849810.2169235,9153,1.0
1698849813.5983565,9225,1.0
1698849814.613424,9243,1.0
1698849815.4566877,9261,1.0
1698849816.5316412,9279,1.0
1698849816.9434867,9288,1.0
1698849818.4448376,9315,1.0
1698849819.2575567,9333,1.0
1698849819.7120059,9342,1.0
1698849820.2841105,9351,1.0
1698849822.7627797,9396,1.0
1698849826.6143012,9459,1.0
1698849827.1638246,9468,1.0
1698849828.5457895,9495,1.0
1698849829.6017423,9513,1.0
1698849832.7325194,9567,1.0
1698849833.1616938,9576,1.0
1698849834.3182826,9594,1.0
1698849835.3356063,9612,1.0
1698849837.623872,9648,1.0
1698849839.418507,9684,1.0
1698849840.3687873,9702,1.0
1698849842.5437486,9747,1.0
1698849842.8869383,9756,1.0
1698849843.3946488,9765,1.0
1698849846.6859372,9828,1.0
1698849847.0683496,9837,1.0
1698849849.7838037,9891,1.0
1698849851.6262183,9927,1.0
1698849852.0225575,9936,1.0
1698849852.3712149,9945,1.0
1698849856.0800061,10026,1.0
1698849857.0197573,10044,1.0
1698849858.2658305,10071,1.0
1698849860.1840036,10107,1.0
1698849861.0716496,10125,1.0
1698849861.5626411,10134,1.0
1698849863.1802692,10170,1.0
1698849863.761324,10179,1.0
1698849864.666944,10197,1.0
1698849865.1854415,10206,1.0
1698849865.6634386,10215,1.0
1698849866.949418,10242,1.0
1698849867.3956559,10251,1.0
1698849871.6986945,10341,1.0
1698849872.4748795,10359,1.0
1698849872.8480241,10368,1.0
1698849874.2017615,10395,1.0
1698849874.674022,10404,1.0
1698849875.171402,10413,1.0
1698849876.5569813,10440,1.0
1698849877.0218651,10449,1.0
1698849877.3552213,10458,1.0
1698849883.6096973,10593,1.0
1698849884.8607554,10620,-1.0
1698849885.6688218,10638,1.0
1698849886.3424509,10647,1.0
1698849887.0678103,10665,1.0
1698849887.5838387,10674,1.0
1698849888.7349098,10701,1.0
1698849890.0652378,10728,1.0
1698849890.4186754,10737,1.0
1698849891.1516356,10746,1.0
1698849891.5402286,10755,1.0
1698849892.3419707,10773,1.0
1698849893.2677033,10791,1.0
1698849894.0102322,10809,1.0
1698849895.2837625,10836,1.0
1698849896.016314,10854,1.0
1698849897.0287433,10872,1.0
1698849897.9453464,10890,1.0
1698849898.7835815,10908,1.0
1698849899.2640872,10917,1.0
1698849899.85797,10926,1.0
1698849904.1897185,11016,1.0
1698849905.98945,11052,1.0
1698849907.6275375,11088,1.0
1698849907.986698,11097,1.0
1698849908.612918,11106,1.0
1698849909.3285277,11124,1.0
1698849910.710779,11151,1.0
1698849911.9969323,11178,1.0
1698849912.6906803,11196,1.0
1698849914.0405662,11223,1.0
1698849914.9500809,11241,1.0
1698849916.4758265,11277,1.0
1698849917.5633903,11295,1.0
1698849918.4877715,11313,1.0
1698849919.001629,11322,1.0
1698849920.5691178,11349,1.0
1698849921.0073044,11358,1.0
1698849921.3490274,11367,1.0
1698849922.7360954,11394,1.0
1698849924.8707745,11439,1.0
1698849926.1835938,11466,1.0
1698849928.452266,11511,1.0
1698849929.4026077,11529,1.0
1698849932.0474215,11583,1.0
1698849933.713318,11619,1.0
1698849934.118985,11628,1.0
1698849934.792214,11637,1.0
1698849935.2876396,11646,1.0
1698849936.3556075,11664,1.0
1698849937.80065,11691,1.0
1698849938.2470782,11700,1.0
1698849939.0036871,11718,1.0
1698849939.5576322,11727,1.0
1698849942.5427039,11790,1.0
1698849943.436644,11808,1.0
1698849944.765998,11835,1.0
1698849945.1341145,11844,1.0
1698849946.6772275,11871,1.0
1698849947.0897803,11880,1.0
1698849949.7487767,11925,1.0
1698849950.2249298,11934,1.0
1698849950.6629093,11943,1.0
1698849952.1351,11970,1.0
1698849953.3141856,11988,1.0
1698849953.6877372,11997,1.0
1698849954.1377127,12006,1.0
1698849954.592807,12015,1.0
1698849955.220491,12024,1.0
1698849955.6277068,12033,1.0
1698849958.351819,12087,1.0
1698849961.1392398,12132,1.0
1698849961.5816944,12141,1.0
1698849962.2960258,12150,1.0
1698849965.1313698,12195,1.0
1698849967.2171564,12231,1.0
1698849968.1958287,12249,1.0
1698849970.6444848,12294,1.0
1698849972.5467453,12330,1.0
1698849975.5776331,12393,1.0
1698849976.6308203,12411,1.0
1698849978.0193624,12438,1.0
1698849978.9172316,12456,1.0
1698849979.520171,12465,1.0
1698849980.9614947,12492,1.0
1698849981.6303031,12501,1.0
1698849982.603538,12519,1.0
1698849983.142183,12528,1.0
1698849984.5097854,12555,1.0
1698849992.84394,12708,1.0
1698849993.3054836,12717,1.0
1698849993.8341234,12726,1.0
1698849994.6281915,12735,1.0
1698849996.4640448,12771,1.0
1698849997.658069,12798,1.0
1698849999.407001,12834,1.0
1698849999.777311,12843,1.0
1698850000.4556081,12852,1.0
1698850002.4805396,12888,1.0
1698850002.9046762,12897,1.0
1698850003.2725134,12906,1.0
1698850004.4283755,12924,1.0
1698850005.4541128,12942,1.0
1698850006.655783,12960,1.0
1698850007.665799,12978,1.0
1698850011.8837044,13050,1.0
1698850014.5701485,13095,1.0
1698850015.0909317,13104,1.0
1698850019.2916286,13185,1.0
1698850019.6867485,13194,1.0
1698850025.026506,13293,1.0
1698850027.2982838,13329,1.0
1698850027.7407336,13338,1.0
1698850029.400961,13365,1.0
1698850029.9290361,13374,1.0
1698850031.3736126,13401,1.0
1698850032.1962469,13419,1.0
1698850032.8606544,13428,1.0
1698850033.247961,13437,1.0
1698850036.9843714,13500,1.0
1698850037.4631007,13509,1.0
1698850038.0649219,13518,1.0
1698850038.5985062,13527,1.0
1698850040.223404,13554,1.0
1698850041.0618768,13572,1.0
1698850041.4374206,13581,1.0
1698850042.1963508,13590,1.0
1698850046.1037626,13662,1.0
1698850048.4533944,13707,1.0
1698850048.8732102,13716,1.0
1698850050.3959095,13743,1.0
1698850053.7863574,13806,1.0
1698850054.7470746,13824,1.0
1698850059.8965368,13914,1.0
1698850062.5049996,13959,1.0
1698850063.0631783,13968,1.0
1698850063.9173737,13986,1.0
1698850064.363734,13995,1.0
1698850067.5752614,14049,1.0
1698850067.9455087,14058,1.0
1698850071.0487766,14112,1.0
1698850071.5303621,14121,1.0
1698850076.167201,14202,1.0
1698850078.0242667,14238,1.0
1698850078.941171,14256,1.0
1698850081.4521492,14292,1.0
1698850085.9216788,14373,1.0
1698850086.91683,14391,1.0
1698850088.551856,14418,1.0
1698850089.524947,14436,1.0
1698850090.10472,14445,1.0
1698850092.01904,14481,1.0
1698850092.4688377,14490,1.0
1698850093.6094556,14508,1.0
1698850094.26961,14517,1.0
1698850096.7288377,14562,1.0
1698850097.665,14580,1.0
1698850099.5364733,14616,1.0
1698850100.4298713,14634,1.0
1698850100.8264782,14643,1.0
1698850101.2789583,14652,1.0
1698850102.363243,14670,1.0
1698850103.480541,14688,1.0
1698850105.911585,14733,1.0
1698850107.552061,14760,1.0
1698850108.4485984,14778,1.0
1698850109.9402995,14805,1.0
1698850111.379682,14832,1.0
1698850113.2598555,14868,1.0
1698850114.9406168,14895,1.0
1698850116.981099,14931,1.0
1698850117.3775566,14940,1.0
1698850118.0194097,14949,1.0
1698850121.2324278,15012,1.0
1698850122.2176602,15030,1.0
1698850122.6630743,15039,1.0
1698850123.0985956,15048,1.0
1698850124.565774,15075,1.0
1698850124.959932,15084,1.0
1698850127.9163005,15138,1.0
1698850128.3833246,15147,1.0
1698850128.8662338,15156,1.0
1698850130.2922418,15183,1.0
1698850132.1827843,15219,1.0
1698850133.3460667,15246,1.0
1698850133.9922605,15255,1.0
1698850134.3791916,15264,1.0
1698850134.7759411,15273,1.0
1698850135.6135728,15291,1.0
1698850136.9335396,15318,1.0
1698850138.2974446,15345,1.0
1698850140.2884564,15381,1.0
1698850140.7204607,15390,1.0
1698850143.0495903,15435,1.0
1698850144.1561477,15453,1.0
1698850144.5953794,15462,1.0
1698850145.1024125,15471,1.0
1698850147.1879256,15507,1.0
1698850148.5212429,15534,1.0
1698850149.5413322,15552,1.0
1698850151.3440473,15588,1.0
1698850151.7894056,15597,1.0
1698850152.2516031,15606,1.0
1698850152.8249218,15615,1.0
1698850153.7134848,15633,1.0
1698850156.5458374,15678,1.0
1698850156.9656024,15687,1.0
1698850157.9140494,15705,1.0
1698850158.5397172,15714,1.0
1698850159.0205655,15723,1.0
1698850160.482686,15750,1.0
1698850161.3621018,15768,1.0
1698850162.0345554,15777,1.0
1698850162.44166,15786,1.0
1698850166.5440853,15867,1.0
1698850168.071621,15894,1.0
1698850172.7409513,15975,1.0
1698850175.6793249,16029,1.0
